SIREN,Nom ou raison sociale de l'entreprise,Famille juridique de l'entreprise,Code postal,Libellé de la commune de l'établissement,Code du département de l'établissement,Département de l'établissement,Région de l'établissement
494576119,PANGEE 2.00,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
481046332,ASSOCIATION ANGOLA CONGO BRETAGNE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
518223540,APPROCHES EDITIONS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
903784502,MOTS DOUX,Associations,35230,SAINT-ERBLON,35,ILLE ET VILAINE,BRETAGNE
823530050,COMITE D'ANIMATION LES LOUPIOTS,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
390532422,LOISIRS ANIMATIONS CULTURES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
488686189,GROUPE BRETAGNE PAYS DE LOIRE DE LA SPP,Associations,35310,CHAVAGNE,35,ILLE ET VILAINE,BRETAGNE
390532729,ASS SOURDS RENNES ET I ET V,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
921900650,ROAZHON WARRIOR TEAM,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
813428216,MINI QUATORZE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
332468115,OUEST INSA,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
923428049,INSTART'UP,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
799577119,ASSOCIATION TY SABL'& BRETONS,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
420526774,UDRE-OLIK,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
835327909,WE CARE HUMANS (WCH),Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
420527913,CHANT' FLORE,Associations,35135,CHANTEPIE,35,ILLE ET VILAINE,BRETAGNE
881153324,ETONNANT VOYAGE,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
