id,siret,nom,commune,code_postal,code_insee,adresse,complement_adresse,longitude,latitude,telephone,courriel,site_web,description,source,date_maj,lien_source,horaires_accueil,accessibilite_lieu,reseaux_porteurs
dora--5d168e74-5622-4da0-8971-a62ff65a11f5,42099601900022,Ressources T,Rennes,35000,35238,18 Rue de la Donelière,,-1.686778,48.130246,+33223205242,recrutement.ressourcest@envie.org,https://careers.werecruit.io/fr/ressources-t,"Leader de l’insertion par l’activité économique, le Groupe coopératif Ressources T est un acteur majeur de l’innovation sociale en Bretagne.

L’objectif est de remettre à l’emploi des hommes et des femmes en difficultés sociales et professionnelles, dans les conditions réelles du marché.

Ressources T, Entreprise d'insertion, regroupe les fonctions supports du Groupe au service des filiales (Envie 35, Envie Transport Bretagne, Envie 2E Recyclage Bretagne, Trocabi) : 
- Maintenance, Comptabilité, Informatique, Ressouces Humaines, QSE ...",dora,2024-06-25,https://dora.inclusion.gouv.fr/structures/ressources-t,,,['ei']
emplois-de-linclusion--4f419472-32e0-495b-86c4-d16df2f4bb2e,42099601900022,Ressources T,Rennes,35000,35238,18 Rue de la Donelière,,-1.686778,48.130246,+33223205242,recrutement.ressourcest@envie.org,https://careers.werecruit.io/fr/ressources-t,"Leader de l’insertion par l’activité économique, le Groupe coopératif Ressources T est un acteur majeur de l’innovation sociale en Bretagne.

L’objectif est de remettre à l’emploi des hommes et des femmes en difficultés sociales et professionnelles, dans les conditions réelles du marché.

Ressources T, Entreprise d'insertion, regroupe les fonctions supports du Groupe au service des filiales (Envie 35, Envie Transport Bretagne, Envie 2E Recyclage Bretagne, Trocabi) : 
- Maintenance, Comptabilité, Informatique, Ressouces Humaines, QSE ...",emplois-de-linclusion,2026-06-12,https://emplois.inclusion.beta.gouv.fr/company/10245/card,,,['ei']
dora--e625ed4e-e171-4034-9d76-7755fca4986a,42853814400026,ASS  LUEUR D'ESPOIR,Rennes,35200,35238,7 Place de Torigné,,-1.656564,48.085189,+33299836528,lueur_d-espoir@orange.fr,http://lueurdespoir35.fr/,"Lueur d’Espoir est une association loi 1901 qui a pour but de venir en aide aux personnes dépressives qui se sentent isolées :

- L’association propose un espace et un temps où ces personnes seront écoutées avec bienveillance et respect.

- L’association est un lieu de rencontres et d’échanges afin de faciliter communication et entraide pour les personnes accueillies.


<!-- -->",dora,2025-04-29,https://dora.inclusion.gouv.fr/structures/ass-lueur-despoir,Tu 14:30-16:30;Fr 14:30-17:00,,
emplois-de-linclusion--c3e6c27b-1358-40d5-89b3-71d6b7223866,44282658200037,PRISME,Rennes,35200,35238,23 Rue d'Aiguillon,,-1.683822,48.092631,,,,,emplois-de-linclusion,2021-09-29,,,,
dora--df625750-ceb0-4487-8c9c-21dbbbab3ca2,48427952600020,MAISON DES SQUARES SOLIDARITE — AMSIC,Rennes,35200,35238,23bis Place de Serbie,,-1.658998,48.087809,,contact@maisondessquares.org,,,dora,2024-07-30,https://dora.inclusion.gouv.fr/structures/maison-des-squares-s,,,
emplois-de-linclusion--43ce1937-dcf9-4687-bcbd-07b3e776abd3,52899655600015,ENVIE 2 E RECYCLAGE BRETAGNE,Rennes,35000,35238,18 Rue de la Donelière,,-1.686778,48.130246,+33223205242,recrutement.ressourcest@envie.org,https://careers.werecruit.io/fr/ressources-t,"a SCIC Ressources T est une Société Coopérative d'Intérêts Collectifs qui regroupe aujourd'hui à Rennes les activités des 4 entreprises d'Insertion par l'Activité Économique du réseau Envie : Envie 35, Envie 2E Recyclage Bretagne, Envie Transport Bretagne et Trocabi. Elles emploient des personnes éloignées de l'emploi et leur proposent un parcours personnalisé d'insertion sociale et professionnelle, fondé sur la mise en situation de travail.

Notre objectif : Mettre l'activité économique au service de la lutte contre le chômage.

A ce jour,  l'ensemblier solidaire  salarie 170 personnes dont 60 permanents et 110 postes en insertion et a réalisé un chiffre d'affaires plus de 9 millions d'euros

Envie 2E Recyclage Bretagne est une Société à Actions Simplifiées (SAS) détenue à 100% par la SCIC Ressources T.

Son activité est le traitement et la valorisation des déchets avec 3 spécialisations :

-	L’activité historique du recyclage des Déchets d’Equipements Electriques et Electroniques (D3E) en co-traitance avec le groupe industriel De Richebourg
-	L’activité créée en 2015 de recyclage des Matelas issus des Déchets d’Equipements d’Ameublement (DEA) en co-traitance avec le groupe industriel Véolia
-	L’activité nouvelle créée fin 2018 de recyclage des déchets issus du BTP, en co-traitance avec les groupes industriels Véolia & Legendre",emplois-de-linclusion,2026-05-28,https://emplois.inclusion.beta.gouv.fr/company/7528/card,,,['ei']
dora--1fe84fa1-cefb-4d1d-90e2-7bc3829acc5e,77774900300029,UNION REGION SOC COOPER OUVRIERE PRODUCT — SCOP OUEST,Rennes,35000,35238,7 Rue Armand Herpin Lacroix,,-1.707847,48.10484,,,,,dora,2024-11-25,https://dora.inclusion.gouv.fr/structures/union-region-soc-coo,,,
dora--1d46f309-ccd1-4092-9f6c-fe5f9ec92117,82371229400144,TIH-Booster 35 (Linklusion),Rennes,35000,35238,2 Rue de la Mabilais,,-1.69422,48.106754,+33757813099,severine@linklusion.fr,https://linklusion.fr/,TIH-Booster propose un accompagnement aux entrepreneurs en situation de handicap sur les thématiques commerciales et sociales,dora,2024-12-10,https://dora.inclusion.gouv.fr/structures/tih-booster-35-linkl,,,['eiti']
emplois-de-linclusion--9b21ff86-580f-463c-98fa-7d411132dcbe,90118320200018,BEST Association,Rennes,35200,35238,47 Avenue des Pays-Bas,,-1.660718,48.087386,+33767173124,fcoffin.best@gmail.com,,,emplois-de-linclusion,2025-09-18,,,,
dora--d7135bd0-5835-4ea3-bbd2-d47b9fe2a663,91470508200024,CPTS RENNES SUD,Rennes,35200,35238,9 Rue Frédéric Mistral,,-1.655981,48.09194,,coordination@cpts-rennes-sud.fr,http://cpts-rennes-sud.fr/,,dora,2025-03-26,https://dora.inclusion.gouv.fr/structures/cpts-rennes-sud,,,
cd35--711,,Halte-garderie associative - Nos Chérubins - Mordelles,Mordelles,35310,35196,Route de Cintré,Ferme du Pâtis,-1.855958,48.07795,+33299851717,noscherubins@netcourrier.com,,"L’accueil collectif occasionnel (ou halte-garderie) s’adresse à des enfants de moins de six ans.
Il est généralement de courte durée.
Il est souple et permet de répondre à des besoins ponctuels d’accueil.
 
Halte-garderie parentale gérée par l'association ""Nos Chérubins"".
L’encadrement est assuré par des professionnels de la petite enfance (deux éducatrices, une auxiliaire de puériculture et deux aides éducatrices) et un parent de permanence. Les permanences sont obligatoires et de l’ordre de une par mois en moyenne (3h). La dimension parentale permet aux parents de tenir un rôle majeur dans le fonctionnement de la halte-garderie, et s’inscrit en complémentarité de la dimension éducative qu’occupe les professionnelles qui encadrent les enfants. L’une ne peut se faire sans l’autre.
La halte-garderie permet aux parents de se libérer ponctuellement, et aux enfants de faire en douceur l'expérience de la séparation et de la vie en collectivité.
Sont accueillis en priorité les enfants de 4 mois à 6 ans. 18 places. Accueil occasionnele ou régulier.
Elle est ouverte à toutes les familles, quelle que soit leur commune de résidence (sans majoration de tarifs).
Les tarifs varient le plus souvent en fonction du quotient familial. Une cotisation annuelle et par famille est sollicitée.
.",cd35,2020-06-22,https://annuaire.ille-et-vilaine.fr/organisme/711-halte-garderie-associative-nos-cherubins-mordelles, Du mardi au Vendredi : 8h30-18h y compris pendant les vacances scolaires ,,
cd35--273,,Association le Geste et le Regard - Rennes,Rennes,35200,35238,36 Boulevard Albert 1er,,-1.68028,48.08891,,info@le-geste-et-le-regard.org,,"L’association Le Geste et le Regard est domiciliée à Rennes, à la Maison Associative de la Santé, mais possède également des antennes à Bruz, Mordelles et Liffré.
Elle n’a pas d’appartenance religieuse ou idéologique particulière.Elle aide les personnes à appréhender la fin de vie et le deuil, en organisant des espaces de rencontres et d’échanges.



Une convention est signée avec le service d'hospitalisation à domicile (HAD) de l' hopital privé de St-Grégoire, de Cesson-Sévigné et de la Bouexière pour les personnes âgées et leurs proches.
L'accompagnement des personnels de santé peut se faire sur demande.Tous les bénévoles accompagnants sont formés à l’écoute et à l’animation.
Confidentialité et respect sont les engagements de chaque accompagnant de l’association. L’association s’adresse aux particuliers, adultes, adolescents et enfants en entretiens individuels ou en ateliers/groupes de paroles adaptés en fonction de l'âge des participants. L'association peut également intervenir en entreprise et en établissements scolaires.
Pour prendre contact avec l’association :02 99 51 56 58 ou 02 99 41 62 42.
Antenne de Bruz :  06 61 10 84 97
Antenne de Mordelles : 06 07 85 06 09
Antenne de Liffré : 06 71 11 70 19
Les permanences sont assurées tous les 2ième et 4ième mardi de chaque mois à La Maison Associative de la Santé 36, Bd Albert 1er  35200 Rennes. Vous pouvez aussi nous contacter par mail : info@le-geste-et-le-regard.org










 



 ",cd35,2020-02-05,https://annuaire.ille-et-vilaine.fr/organisme/273-association-le-geste-et-le-regard-rennes,possibilité de laisser un message.,,
cd35--120,,Handicap Services 35 - SAAD - Acigné,Acigné,35690,35001,3 le Boulais,,-1.557888,48.139711,+33223210101,association@handicap-services-35.fr,https://www.handicap-services-35.fr/,"Les services d’aide et d’accompagnement à domicile (SAAD) désignent les organismes publics (gestion par un Centre Communal d’Action Sociale) ou privés (gestion par une entreprise ou une association) qui interviennent au domicile des personnes pour des actes de la vie quotidienne : aide à la préparation et prise des repas, aide aux tâches ménagères, aide au lever et coucher, accompagnement aux courses…
Ils accompagnement notamment les personnes âgées dépendantes, les personnes en situation de handicap ainsi que les familles.
Les SAAD interviennent :
 - Soit en prestataire de service. Dans ce cas, le SAAD est l’employeur de la personne qui rend le service et s’occupe de toutes formalités (bulletins de salaires, gestion des congés, remplacement, recrutement…). Ces SAAD sont autorisés par le Département.
 - Soit en service mandataire. Dans ce cas, la relation avec l' intervenant à domicile est effectuée par le SAAD. Ce dernier assure les formalités administratives et les déclarations sociales liées à l’emploi mais la personne reste l’employeur légal de l’aide à domicile. Elle doit assurer toutes les responsabilités de celui-ci (recrutement, remplacement, éventuellement licenciement…). Ces SAAD sont agréés par la DIRECCTE – la Direction Régionale des entreprises, de la Concurrence, de la Consommation, du Travail et de l’Emploi.
 - Soit en prestataire de service et en service mandataire.
 
Ce Service d’Aide et d’Accompagnement à Domicile (SAAD) est autorisé par le Conseil Départemental pour intervenir dans le cadre de la Prestation de Compensation du Handicap (PCH) pour les personnes en situation de handicap et de l’Allocation Personnalisée d’Autonomie (APA) pour les personnes âgées. Dans ce cadre, les tarifs du service sont fixés annuellement par le Conseil Départemental.
 
HANDICAP SERVICES 35 est à la fois  un Service d'aide et d'accompagnement à domicile (SAAD) et Service de soins infirmiers à domicile (SSIAD).
Créé à l'initiative de six associations, Handicap Services 35 est un service d'accompagnement pour les personnes handicapées, enfants, jeunes, adultes.
Objectifs : permettre à la personne handicapée d'avoir une plus grande autonomie individuelle afin de compenser les incapacités à faire seul, Apporter une aide globale à la personne en situation de handicap, conforter et sécuriser le maintien à domicile des personnes dépendantes.
 Prestations SAAD
> Accès à la vie sociale
- Shopping, sport, démarches administratives ...
- Loisirs, vacances, séjours
- Vie citoyenne : assurer ses responsabilités électives,
associatives, professionnelles…
- Aide à la parentalité
- Rencontrer des amis ou aller voir sa famille
> Accompagnement à la vie universitaire
- Permettre aux étudiants très dépendants de suivre pleinement leur cursus
> Aide à la mobilité
- Aide et mise à disposition de transports adaptés
> Intervention rapide
- Une aide immédiate pour faire face aux aléas, gérer les imprévus : panne de fauteuil, absence d’auxiliaire, évènements familiaux…
> Dans la continuité de l’accompagnement
- Travaux de dépannage (remplacement d’une ampoule, petit bricolage, etc.)
- Petits travaux de jardinage
- Préparation des repas
- Ménage, entretien du logement
- Lessive…
Interventions sur tout le département 35 avec des antennes sur Rennes, Saint-Malo, et Redon. Possibilité d'intervenir hors du département si le départ ou l'arrivée se fait en Ille-et-Vilaine (ex: Rennes-Paris ; Lyon-Rennes, ...).
Antenne Pays de Saint-Malo :
37 avenue du Révérend Père Umbricht
35400 SAINT-MALO
tél : 06 72 46 29 48
Antenne Pays de Redon :
CCAS - 7 rue des Douves
35600 REDON
tél : 06 85 94 76 71
Antenne Pays de Vitré :
tél : 02 23 21 01 01",cd35,2021-01-29,https://annuaire.ille-et-vilaine.fr/organisme/120-handicap-services-35-saad-acigne,"SAAD - Service d'Aide et d'Accompagnement à Domicile : Les bureaux sont ouverts du lundi au vendredi de 8h30 à 12h30 et de 14h à 18h30. En dehors de ces horaires, en cas d'urgence, un numéro d'astreinte existe : 06 79 42 62 12. Le SAAD fonctionne de 7h à 1",,
cd35--4001,,"Maison d'assistants maternels ""Mam'Enchantée"" - Romillé",Romillé,35850,35245,10 Contour du Bignon,,-1.893218,48.215748,+33638495570,la.mam.enchantee.35@gmail.com,,,cd35,2024-09-09,https://annuaire.ille-et-vilaine.fr/organisme/4001-maison-dassistants-maternels-mamenchantee-romille,,,
cd35--440,,EHPAD Résidence La Vallée,Bécherel,35190,35022,2 Rue du Faubourg Berthault,,-1.94525,48.294471,+33299668117,contact@ehpad-becherel-romille.fr,,"Cet établissement d'accueil pour personnes âgées propose différents services et types d'hébergements.
 
Des pictogrammes indiquant les différentes prestations (types d'accueil, personnes accueillies, aides financières…) vous permettront d'accéder rapidement aux renseignements recherchés.
 
 
Si vous souhaitez des informations complémentaires, vous pouvez consulter le site internet :gaelig35.org",cd35,2022-05-23,https://annuaire.ille-et-vilaine.fr/organisme/440-ehpad-residence-la-vallee,,,
cd35--1340,,Crèche collective CHU - Hôtel Dieu - Rennes,Rennes,35000,35238,2 Rue de l'Hôtel Dieu,,-1.678943,48.117592,+33299873512,,https://www.chu-rennes.fr/,"Centre hospitalier universitaire de Rennes (CHU). Crèche d'entreprise collective accueillant les enfants de 3 mois à 3 ans. (39 places)
Une partie des places est mise à la disposition des enfants dont les parents ne font pas partie du personnel de l'hôpital (10% ).
Pour avoir des renseignements il est préférable d'appeler à partir de 14h30 .",cd35,2020-02-06,https://annuaire.ille-et-vilaine.fr/organisme/1340-creche-collective-chu-hotel-dieu-rennes, du lundi au vendredi de 6h15 à 21h30. ,,
cd35--4061,,"Maison d'assistants maternels ""MAM Neizhig"" - Rennes",Rennes,35700,35238,35 Rue Carnot,,-1.663276,48.118363,,neizhig@gmail.com,,,cd35,2024-09-27,https://annuaire.ille-et-vilaine.fr/organisme/4061-maison-dassistants-maternels-mam-neizhig-rennes,,,
cd35--2755,,Centre Communal d’Action Sociale de Brece - CCAS,Brécé,35530,35039,6 Rue de Rennes,BP 73327,-1.4829,48.110587,+33299001009,accueil@mairie-brece.fr,,"Le CCAS anime une action générale de prévention et de développement social dans la commune en liaison avec les institutions publiques et privées.

A ce titre, il développe différentes activités et missions légales obligatoires : participation, pré-instruction et avis du CCAS sur les dossiers d’aide sociale, domiciliation des personnes sans domicile stable si lien avec la commune, analyse des besoins…
 
Le CCAS développe également des actions facultatives directement orientées vers les populations concernées.
 
Le CCAS/CIAS se mobilise dans les principaux champs suivants :

- lutte contre l’exclusion (en particulier, aide alimentaire)
- services d’aide à domicile,
- prévention et animation pour les personnes âgées,
- gestion d’établissements d’hébergement pour personnes âgées,
- soutien au logement et à l’hébergement,
- petite enfance, enfance/jeunesse,
- soutien aux personnes en situation de handicap.",cd35,2020-07-01,https://annuaire.ille-et-vilaine.fr/organisme/2755-centre-communal-daction-sociale-de-brece-ccas,Lundi à Vendredi : 8h30-12h/13h30-17h ; Samedi 8h30-12h,,['ccas-cias']
cd35--3477,,SKOAZELL,Rennes,35000,35238,Rue de la Barbotière,,-1.666783,48.109403,+33299275060,skoazell@sea35.org,https://www.sea35.org/p-156-pole-precarite-insertion.php," 
Le dispositif SKOAZELL a pour mission d’accueillir, d’informer, d’orienter et d’instruire les demandes d’aides financières et caritatives en faveur des personnes, sans logement, qui n’ouvrent pas de droit sur le territoire français.
 
Qui accueillons-nous ?
- Les personnes isolées, les couples et les familles
- Les personnes majeures de nationalité européenne qui n’ouvrent pas de droit sur le territoire français (sans emploi en cours, sans allocation chômage ni minima sociaux).
- Les personnes majeures de nationalité hors Union Européenne n’ayant pas de titre de séjour ou de récépissé reconnaissant la protection internationale en cours de validité.
 
L’intervention du service SKOAZELL sera différente en fonction de la composition du ménage qui le sollicite :
- Concernant les isolés (ménage sans enfant mineur à charge)
SKOAZELL reçoit uniquement les personnes qui ont une domiciliation administrative sur Rennes (Croix-Rouge Française, SEA35, COALLIA, CCAS de Rennes).
- Concernant les familles (ménage ayant à sa charge au moins un enfant mineur)
SKOAZELL intervient auprès des familles se trouvant en situation d’hébergement précaire (chez un particulier depuis moins de deux mois, logé par le 115, vivant en squat, en camping sauvage, dans un véhicule….
 
Que proposons-nous ?
L’agent d’accueil reçoit tout ménage qui se présente. Celui-ci écoute et recueille les informations nécessaires à la compréhension de la situation.
Un entretien sera proposé ultérieurement (délai variable de 2 à 4 semaines) avec un travailleur social, ou alors le ménage sera réorienté vers le service dont il dépend.
Les travailleurs sociaux reçoivent exclusivement sur rendez-vous afin d’instruire les demandes d’aides financières et caritatives nécessaires.",cd35,2023-09-27,https://annuaire.ille-et-vilaine.fr/organisme/3477-skoazell,9h30 à 12h30 lundi mercredi jeudi et vendredi,,
cd35--1062,,Envie 35 - Entreprise d'insertion - Rennes,Rennes,35000,35238,18 Rue de la Donelière,,-1.686778,48.130246,+33299386296,magasin35@envie.org,https://rennes.envie.org,"Les entreprises d’insertion (EI) sont des entreprises prestataires de biens et de services qui opèrent dans le secteur marchand mais dont la finalité est avant tout sociale. La durée hebdomadaire courante est de 35h/semaine avec un rythme de travail plus soutenu qu’en Ateliers et Chantiers d’Insertion 
Vous pouvez déposer votre candidature sur la plateforme de l’inclusion. 
Embauchées en contrat à durée déterminée d’insertion (CDI), les personnes bénéficient d’une durée de contrat de 6 mois renouvelable avec une durée maximale de 2 ans. La durée du travail est au minimum de 20 heures hebdomadaires.
Récupération, réparation et vente à prix bas d'appareils électroménagers.
L'association permet à des personnes à faibles ressources prioritairement, de s'équiper en matériel électroménager avec une garantie d'un an. Elle propose également la livraison et l'enlèvement d'appareils à domicile (dans une limite de 35 km de Rennes). Un service après vente interne permet d'assurer les réparations dans les meilleurs délais.
En recyclant plus de 2500 appareils par an, Envie 35 limite les déchets, lutte contre le surconsumérisme et contribue ainsi à la sauvegarde de l'environnement.
Le magasin Envie 35 vous propose un large choix en lave-linge, sèche linge, réfrigérateur, cuisinière, téléviseur, ordinateur … et en petit électroménager.
Chaque jour de nouveaux produits en magasin .
Tous nos appareils sont rénovés et testés dans nos ateliers et bénéficient d’une garantie de 12 mois minimum
Par ailleurs, l'entreprise d'insertion ( loi 1901) Envie 35 accueille des personnes en insertion et propose un contrat de travail, une formation et un accompagnement personnalisé.",cd35,2021-08-23,https://annuaire.ille-et-vilaine.fr/organisme/1062-envie-35-entreprise-dinsertion-rennes,,,
monenfant--47cd34ad-3405-4d05-b69b-efbcd164512b,,HALTE-GARDERIE PRIMEVÈRES - RENNES,Rennes,35700,35238,31 Square Louis Boulanger,,-1.637191,48.126736,+33299507264,haltegarderie.primeveres@yahoo.fr,https://halte-garderie-primeveres.org/,"## Le gestionaire :

Association loi 1901, dirigée par un bureau et un conseil d'administration et créée le 12 mai 1975.

## L’équipe :

L'équipe est composée :
- d' 1 directrice titulaire d'un diplôme d'état d'éducatrice spécialisée
- et de 2 éducatrices de jeunes enfants.
Elles sont accompagnées d'un jeune volontaire en service civique, de stagiaires et de bénévoles.",monenfant,2024-09-16,https://monenfant.fr/que-recherchez-vous/HALTE-GARDERIE PRIMEVÈRES - RENNES/EAJE/47cd34ad-3405-4d05-b69b-efbcd164512b,Mo-Fr 13:30-17:00 open; Jul closed; Aug closed; Dec 25-Jan 1 closed,,['caf']
monenfant--f1153687-9d6e-413e-8938-3ea80ff66b3f,,MICRO-CRÈCHE LES CHÉRUBINS MALINS BROCÉLIANDE - SAINT GRÉGOIRE,Saint-Grégoire,35760,35278,3 Parc de Brocéliande,,-1.688278,48.160656,+33223421772,marraines-malins@les-cherubins.com,https://saint-gregoire-35760-broceliande.les-cherubins-creches.com/,"## Le gestionaire :

Notre structure est encadrée par deux gestionnaires associées Mesdames Marie Colin et Laure Massin qui assurent la gérance de l’activité, le recrutement et management de l’équipe, les relations avec les familles, la gestion administrative et financière.

## L’équipe :

L'équipe terrain est composée de 5 personnes:
- 1 référente technique (Educatrice de Jeunes Enfants) et de 3 auxiliaires petite enfance.",monenfant,2023-01-18,https://monenfant.fr/que-recherchez-vous/MICRO-CRÈCHE LES CHÉRUBINS MALINS BROCÉLIANDE - SAINT GRÉGOIRE/EAJE/f1153687-9d6e-413e-8938-3ea80ff66b3f,Mo-Fr 08:00-18:30 open; Aug closed; Dec 25-Jan 1 closed,,['caf']
