Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Effectifs,IPS,Ecart-type de l'IPS
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,924.0,138.2,26.5
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350027P,COLLEGE LES GAYEULLES,35238,RENNES,public,567.0,103.4,43.8
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,511.0,112.8,33.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350866B,COLLEGE PRIVE SAINT JOSEPH,35136,JANZE,privé sous contrat,661.0,113.3,28.5
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,728.0,115.7,28.1
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,615.0,106.9,32.5
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350835T,COLLEGE PRIVE LA TOUR D AUVERGNE LA SALLE,35238,RENNES,privé sous contrat,436.0,129.5,27.5
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350839X,COLLEGE PRIVE SAINT HELIER,35238,RENNES,privé sous contrat,487.0,129.5,28.0
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,502.0,116.7,43.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351851X,COLLEGE LA BINQUENAIS,35238,RENNES,public,592.0,82.9,35.6
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351852Y,COLLEGE DE FONTENAY,35066,CHARTRES DE BRETAGNE,public,575.0,114.1,37.4
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,478.0,111.3,34.6
