Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Les Embellies,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Théâtre du Vieux Saint-Etienne,Théâtre du Vieux Saint-Etienne,,http://www.festival-lesembellies.com,com.patchrock@gmail.com,De 1990 à 1999,1998,Musique,,"Pop, rock",07- Musiques actuelles sans distinction,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5376,"48.1119791219, -1.68186449144",12
L'Alambik,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Salles  Rennes,Salles  Rennes,,https://musiqualambic.wordpress.com/,musiqualambic@gmail.com,2010 et après,2012,Musique,,"Chanson ou variété française, Musiques du monde, Variétés internationales, Métal, hard rock, Pop, rock, Jazz, blues, Musique contemporaine, musique de traverse",,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5371,"48.1119791219, -1.68186449144",
I'm from Rennes,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Salle de la Cité,Salle de la Cité,,https://imfromrennes.com/,contact@imfromrennes.com,2010 et après,2012,Musique,,"Chanson ou variété française, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Métal, hard rock, Pop, rock",02- Musiques amplifiées ou électroniques,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5361,"48.1119791219, -1.68186449144",1940
Les rencontres documentaires Des Histoires,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Quartier Maurepas,Quartier Maurepas,,https://www.comptoirdudoc.org/programmations/des-histoires,comptoir@comptoirdudoc.org,2010 et après,2014,"Cinéma, audiovisuel",,,,Documentaire,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5383,"48.1119791219, -1.68186449144",
Docs au féminin,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Comptoir du Doc,Comptoir du Doc,,https://www.comptoirdudoc.org/programmations/docs-au-feminin,comptoir@comptoirdudoc.org,De 2000 à 2009,2003,"Cinéma, audiovisuel",,,,Documentaire,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5355,"48.1119791219, -1.68186449144",
Big Love,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"UBU, 1 Rue Saint-Hélier","UBU, 1 Rue Saint-Hélier",,www.biglove.fr,infos@crabcakecorporation.com,2010 et après,2015,Musique,,"Musiques électroniques, techno",,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5350,"48.1119791219, -1.68186449144",
Le P'tit Festival,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Théâtre du Cercle,Théâtre du Cercle,30 Bis Rue de Paris,https://theatreducercle.com/,tdc@cerclepaulbert.asso.fr,De 2000 à 2009,,"Arts visuels, arts numériques",Théâtre,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5375,"48.1119791219, -1.68186449144",
Sevenadur,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Cercle Celtique de Rennes La Harpe,Cercle Celtique de Rennes La Harpe,,https://cercleceltiquederennes.org,sevenadur.roazhon@gmail.com,De 2000 à 2009,,Spectacle vivant,Danse,Musique Danse,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5403,"48.1119791219, -1.68186449144",
Des Fées en Bulles,,Bretagne,Ille-et-Vilaine,Janzé,35150,35136,243500634,CC Roche aux Fées Communauté,,,Le Gentieg,Le Gentieg,,,comitedesfetesdejanze@gmail.com,2010 et après,,Pluridisciplinaire,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35136_2651,"47.9428950804, -1.50038718382",
Made Festival,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,1988 Live club à la salle de la Cité,1988 Live club à la salle de la Cité,La Glaz Arena,www.made-festival.fr,contact@made-festival.fr,2010 et après,2016,Musique,,"Musiques électroniques, techno",02- Musiques amplifiées ou électroniques,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5385,"48.1119791219, -1.68186449144",2911
Treize,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Parc des  Gayeulles, Antipode","Parc des  Gayeulles, Antipode",,,guillaume@lesdisquesanonymes.com,2010 et après,,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5410,"48.1119791219, -1.68186449144",
La Flume Enchantée,,Bretagne,Ille-et-Vilaine,Gévezé,35850,35120,243500139,Rennes Métropole,,,Salle Polyvalente,Salle Polyvalente,,,directionlfe@gmail.com,2010 et après,,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35120_2390,"48.2133254705, -1.79930703575",
Robinson,,Bretagne,Ille-et-Vilaine,Saint-Grégoire,35760,35278,243500139,Rennes Métropole,,,Rue Chateaubriand,Rue Chateaubriand,,sans,culture@saint-gregoire.fr,De 1990 à 1999,1995,Spectacle vivant,Arts de la rue,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35278_5891,"48.1588840471, -1.68571943452",
"Bazar le jour, Biz'art la nuit",,Bretagne,Ille-et-Vilaine,Betton,35830,35024,243500139,Rennes Métropole,,,Plan d'eau de Betton,Plan d'eau de Betton,,,culture@betton.fr,2010 et après,2011,Musique,,Musiques classiques et savantes,,,,,Saison (21 juin - 5 septembre),,FEST_35024_795,"48.1812360423, -1.64589552684",
AY-ROOP [Temps Fort Arts du Cirque],Intercommunale,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Scène de territoire pour les arts de la piste,Scène de territoire pour les arts de la piste,3 Rue de Lorraine,http://www.ay-roop.com/festival-ay-roop/,contact@ay-roop.com,2010 et après,2011,Musique,Arts du cirque,,"13- Autres spectacles (théâtre, arts de la rue et du cirque...)",,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5343,"48.1119791219, -1.68186449144",3280
La Fête,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,11 Rue du Manoir-de-Servigné,11 Rue du Manoir-de-Servigné,,http://www.armada-productions.com/la-fete/,lafete@armada-productions.com,2010 et après,2011,Musique,,"Chanson ou variété française, Musiques du monde, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Métal, hard rock, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_35238_5369,"48.1119791219, -1.68186449144",
Les Tombées de la Nuit,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Square Lucien Rose,Square Lucien Rose,,https://www.lestombeesdelanuit.com/,cguinard@lestombeesdelanuit.com,De 1980 à 1989,,"Cinéma, audiovisuel",Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5384,"48.1119791219, -1.68186449144",
Un Des Sens,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,20 Avenue  des Buttes de Coësmes,20 Avenue  des Buttes de Coësmes,,,contact@undessens.fr,De 2000 à 2009,,Musique,,,02- Musiques amplifiées ou électroniques,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5411,"48.1119791219, -1.68186449144",668
Festival TNB,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,1 Rue Saint-Hélier,1 Rue Saint-Hélier,,www.t-n-b.fr,info@t-n-b.fr,2010 et après,2017,"Cinéma, audiovisuel",Théâtre,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5359,"48.1119791219, -1.68186449144",
Polyphonies,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Idem,Idem,,,contact@maisondelapoesie-rennes.org,De 2000 à 2009,2008,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5392,"48.1119791219, -1.68186449144",
Rencontres Trans Musicales de Rennes,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,UBU,UBU,1 Rue Saint-Hélier,www.lestrans.com,info@lestrans.com,Avant 1980,1979,Musique,,"Musiques du monde, Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock, Jazz, blues",,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5396,"48.1119791219, -1.68186449144",
Mythos,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,2 Place Jules Vallès,2 Place Jules Vallès,Saint-Jacques-de-la Lande,festival-mythos.com,info@festival-mythos.com,De 1990 à 1999,1997,Musique,Théâtre,,09- Pluridisciplinaire,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5390,"48.1119791219, -1.68186449144",96
Vern volume,,Bretagne,Ille-et-Vilaine,Vern-sur-Seiche,35770,35352,243500139,Rennes Métropole,,,Avenue de la Chalotais,Avenue de la Chalotais,,,accueil.volume@vernsurseiche.fr,De 1990 à 1999,,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35352_7003,"48.0525245014, -1.60521106164",
Manimagine,,Bretagne,Ille-et-Vilaine,Thorigné-Fouillard,35253,35334,243500139,Rennes Métropole,,,Salle Juteauderie,Salle Juteauderie,,www.ville-thorigne-fouillard.fr/accueil/culture_sports_et_loisirs/culture/festival_manimagine_arts_de_la_marionnette,mairie@thorignefouillard.fr,De 1990 à 1999,,Spectacle vivant,Marionnettes et théâtre d'objet,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35334_6570,"48.1566082899, -1.58409867633",
Vive la Magie,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Le Triangle,Le Triangle,Bd de Yougoslavie,http://www.vivelamagie.com/,resa@vivelamagie.com,De 2000 à 2009,2008,Pluridisciplinaire,"Théâtre, Magie",,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5415,"48.1119791219, -1.68186449144",
A Cris Ouverts - Biennale d'Art Contemporain,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Les Ateliers de Rennes,Les Ateliers de Rennes,,,info@lesateliersderennes.fr,2010 et après,,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5345,"48.1119791219, -1.68186449144",
Les Mercredis du Thabor,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Parc du Thabor,Parc du Thabor,,https://skeudenn.bzh/,contact@skeudenn.bzh,,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5381,"48.1119791219, -1.68186449144",
Les étoiles à Rennes,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Quartiers sud de Rennes,Quartiers sud de Rennes,,https://www.comptoirdudoc.org/programmations/les-Etoiles-de-la-SCAM,comptoir@comptoirdudoc.org,2010 et après,2015,"Cinéma, audiovisuel",,,,Documentaire,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5379,"48.1119791219, -1.68186449144",
Agitato,,Bretagne,Ille-et-Vilaine,Rennes,35200,35238,243500139,Rennes Métropole,,,Le Triangle,Le Triangle,Bd de Yougoslavie,,secretariat@letriangle.com,De 2000 à 2009,,"Arts visuels, arts numériques",Danse,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5346,"48.1119791219, -1.68186449144",
Un Dimanche au Thabor,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Du Théatre de verdure au Kiosque et inversement,Du Théatre de verdure au Kiosque et inversement,,,undimancheauthabor@rennesmetropole.fr,2010 et après,,Musique,,,,,,,,,FEST_35238_5412,"48.1119791219, -1.68186449144",
Made in China,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,23 rue de la Parcheminerie,23 rue de la Parcheminerie,,https://www.comptoirdudoc.org/,comptoir@comptoirdudoc.org,2010 et après,2019,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5386,"48.1119791219, -1.68186449144",
Teenage Kicks,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Quartier du Colombier,Quartier du Colombier,,https://www.teenagekicks.org/,mathiasbrez@teenagekicks.org,2010 et après,2013,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5406,"48.1119791219, -1.68186449144",
Les Estivales de l'Orgue,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Eglise Saint-Martin,Eglise Saint-Martin,,https://orguesarennes.weebly.com,lmbelliard@yahoo.fr,De 1990 à 1999,,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_35238_5378,"48.1119791219, -1.68186449144",
Autres Mesures,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,"Au CRR de rennes, L'Antipode MJC","Au CRR de rennes, L'Antipode MJC","Musées des Beaux Arts, les Champs Libres, La Criée, le FRAC",https://autresmesures.wixsite.com/festival,carnivalofsound.jiess@gmail.com,2010 et après,2015,Musique,,"Musiques électroniques, techno, Musique contemporaine, Musique classique, experimentales, improvisation",,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5347,"48.1119791219, -1.68186449144",
7ème Lune,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Au cinéma les 7 Batignolles à Paris,Au cinéma les 7 Batignolles à Paris,,,infos@7emelune.com,2010 et après,,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5344,"48.1119791219, -1.68186449144",
Dangereuses Lectrices,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Ateliers du Vent,Ateliers du Vent,Rue Alexandre Duval,dangereuseslectrices.org,contact@dangereuseslectrices.org,2010 et après,2019,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Polar, Science-fiction, Bande dessinée, comics, manga, Poésie",Après-saison (6 septembre - 31 décembre),,FEST_35238_5354,"48.1119791219, -1.68186449144",
Un Week-end à la Rue,,Bretagne,Ille-et-Vilaine,Vern-sur-Seiche,35770,35352,243500139,Rennes Métropole,,,La rue du Centre,La rue du Centre,,,unweekendalarue@gmail.com,2010 et après,,Musique,Arts de la rue,,"13- Autres spectacles (théâtre, arts de la rue et du cirque...)",,,,Avant-saison (1er janvier - 20 juin),,FEST_35352_7002,"48.0525245014, -1.60521106164",5051
Dooinit,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,UBU,UBU,,www.dooinit-festival.com,info@dooinit-festival.com,2010 et après,2010,Musique,,"Hip-hop, rap, slam",02- Musiques amplifiées ou électroniques,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5356,"48.1119791219, -1.68186449144",1429
Les Bons Jours,,Bretagne,Ille-et-Vilaine,Thorigné-Fouillard,35235,35334,243500139,Rennes Métropole,,,Au Domaine du Tizé,Au Domaine du Tizé,,https://auboutduplongeoir.fr/agenda/les-bons-jours-au-bout-du-plongeoir/,plateforme@auboutduplongeoir.fr,,,Pluridisciplinaire,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35334_6569,"48.1566082899, -1.58409867633",
K-Barré,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,2 Place du Recteur Henri Le Moal,2 Place du Recteur Henri Le Moal,,http://k-barre.net (changement à venir),festival.kbarre@gmail.com,De 2000 à 2009,2003,Pluridisciplinaire,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5368,"48.1119791219, -1.68186449144",
Jazz à l'étage,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Le Liberté,Le Liberté,,http://jazzaletage.com/,olivier@jazzaletage.com,De 2000 à 2009,,Musique,,,"03- Jazz, blues et musiques improvisées",,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5366,"48.1119791219, -1.68186449144",844
Will'Stock Festival,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Mondo Bizarro,Mondo Bizarro,264 Avenue Général Patton,,willpower@hotmail.fr,De 2000 à 2009,,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5416,"48.1119791219, -1.68186449144",
Quartiers d'été,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Parc des Gayeulles,Parc des Gayeulles,,www.le4bis-ij.com/quartiersdete,quartiersdete@le4bis-ij.com,De 1990 à 1999,1993,Musique,,"Musiques du monde, Hip-hop, rap, slam",,,,,Saison (21 juin - 5 septembre),,FEST_35238_5393,"48.1119791219, -1.68186449144",
Le Funk prend les Rennes,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Place de la Mairie,Place de la Mairie,,https://www.engrenages.eu/le-funk-prend-les-rennes/,contact@engrenages.eu,2010 et après,2012,Musique,Danse,,"03- Jazz, blues et musiques improvisées",,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5372,"48.1119791219, -1.68186449144",5636
Escale Africaine,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Entre les quartiers Bréquigny et Villejean,Entre les quartiers Bréquigny et Villejean,,,contact@cie-dounia.com,2010 et après,,Pluridisciplinaire,Danse,Musiques actuelles,,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5357,"48.1119791219, -1.68186449144",
Transat en ville,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,Place du Parlement de Bretagne,Place du Parlement de Bretagne,,transatenville.fr,t.contival@rennesmetropole.fr,De 2000 à 2009,2003,Musique,,"Chanson ou variété française, Musiques du monde, Musiques traditionnelles, Musiques électroniques, techno, Hip-hop, rap, slam, Jazz, blues, spectacle pour enfants",09- Pluridisciplinaire,,,,Saison (21 juin - 5 septembre),,FEST_35238_5408,"48.1119791219, -1.68186449144",1202
Biennale Internationale de la Percussion,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,La Maison bleue,La Maison bleue,123 Bd de Verdun,www.biennale-percussion.com,contact@lapulse.fr,2010 et après,2019,Musique,,"Musiques du monde, Musiques traditionnelles",,,,,Avant-saison (1er janvier - 20 juin),,FEST_35238_5349,"48.1119791219, -1.68186449144",
Bars en Trans,,Bretagne,Ille-et-Vilaine,Rennes,35000,35238,243500139,Rennes Métropole,,,14  LIEUX #,14  LIEUX #,,https://www.barsentrans.com/,com@barsentrans.com,De 1990 à 1999,1994,Musique,,"Chanson ou variété française, Musiques du monde, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Métal, hard rock, Pop, rock",07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_35238_5348,"48.1119791219, -1.68186449144",54
