Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0352386D,Ecole,Public,SANS OBJET,Ecole élémentaire publique Noël du Fail,Rue Guillotin de Corson ,,35770 VERN SUR SEICHE,35770,35352,Vern-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299004213,,,ecole.0352386D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,145,,21350352700052,,,357455.4,6781208.9,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.04145441895823,-1.5992030115131082,"48.04145441895823,-1.5992030115131082",Numéro de rue,1994-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0352387E,Ecole,Public,SANS OBJET,Ecole élémentaire publique la Chalotais,4 allée de la Chalotais ,,35770 VERN SUR SEICHE,35770,35352,Vern-sur-Seiche,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299627232,,,ecole.0352387E@ac-rennes.fr,1,0,1,,,,,,,,,,,,,156,,21350352700128,,,357188.7,6781465.4,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.04361894284698,-1.6029763075101329,"48.04361894284698,-1.6029763075101329",Numéro de rue,1994-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350192U,Ecole,Public,SANS OBJET,Ecole élémentaire publique de Chavagne,11 rue DE LA CROIX VERTE ,,35310 CHAVAGNE,35310,35076,Chavagne,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299642149,,,ecole.0350192U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,195,,21350076200025,,,343277.9,6783495.8,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.05441603739067,-1.7909616851519912,"48.05441603739067,-1.7909616851519912",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350196Y,Ecole,Public,SANS OBJET,Ecole primaire publique Arc-en-Ciel,3 rue de Rennes ,,35310 CINTRE,35310,35080,Cintré,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299641649,,,ecole.0350196Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,189,,21350080400025,,,337844.4,6789447.9,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.10488792599916,-1.8686758424841445,"48.10488792599916,-1.8686758424841445",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350430C,Ecole,Public,SANS OBJET,Ecole primaire publique Moigné,Allée de l'Ecole ,,35650 LE RHEU,35650,35240,Le Rheu,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299147564,,,ecole.0350430C@ac-rennes.fr,1,0,0,,,,,,,,,,,,,92,,21350240400022,,,344835.1,6786247.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.07998226256422,-1.7723297009489325,"48.07998226256422,-1.7723297009489325",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350479F,Ecole,Public,SANS OBJET,Ecole élémentaire publique Jacques Prévert,5 bis rue du Parc ,,35590 ST GILLES,35590,35275,Saint-Gilles,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299646537,,,ecole.0350479F@ac-rennes.fr,1,0,0,,,,,,,,,,,,,258,,21350275000036,,,341126.3,6794546.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.15249453747401,-1.8288522501015085,"48.15249453747401,-1.8288522501015085",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350552K,Ecole,Public,SANS OBJET,Ecole primaire publique Niki de Saint Phalle,5 route de Saint-Denis ,,35250 ST SULPICE LA FORET,35250,35315,Saint-Sulpice-la-Forêt,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299662354,,,ecole.0350552K@ac-rennes.fr,1,0,0,,,,,,,,,,,,,152,,21350315400022,,,360098.1,6800681.3,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.21775919097838,-1.5789442502175854,"48.21775919097838,-1.5789442502175854",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350602P,Ecole,Public,SANS OBJET,Ecole élémentaire publique Marcel Pagnol,19 rue Jeanne Jugan ,,35000 RENNES,35000,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0257213069,,,ecole.0350602P@ac-rennes.fr,1,0,1,,,,,,,,,,,,,198,,21350238800480,,,354117.6,6789725.9,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.11620628236663,-1.6506426681672632,"48.11620628236663,-1.6506426681672632",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0350652U,Ecole,Public,SANS OBJET,Ecole maternelle publique Marcel Pagnol,19 rue Jeanne Jugan ,,35700 RENNES,35700,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299383815,,,ecole.0350652U@ac-rennes.fr,1,0,0,,,,,,,,,,,,,135,,21350238800498,,,354098.1,6789715.6,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.116103430361456,-1.6508961063051573,"48.116103430361456,-1.6508961063051573",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0350671P,Ecole,Public,SANS OBJET,Ecole primaire publique de la Vallée du Rohuel,4 route de Mordelles ,,35160 LE VERGER,35160,35351,Le Verger,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299079718,,,ecole.0350671P@ac-rennes.fr,1,0,0,,,,,,,,,,,,,131,,21350351900026,,,333002.4,6785824.1,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.06963968992435,-1.9305636819515661,"48.06963968992435,-1.9305636819515661",Numéro de rue,1965-10-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351021V,Ecole,Public,SANS OBJET,Ecole maternelle publique la Chesnaye,Place Pierre de Coubertin ,,35310 MORDELLES,35310,35196,Mordelles,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299605976,,,ecole.0351021V@ac-rennes.fr,1,0,0,,,,,,,,,,,,,69,,21350196800035,,,339172.3,6786111.7,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.07565840704888,-1.8481187578222877,"48.07565840704888,-1.8481187578222877",Numéro de rue,1970-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351022W,Ecole,Public,SANS OBJET,Ecole élémentaire publique la Chesnaye,25 rue de la Libération ,,35310 MORDELLES,35310,35196,Mordelles,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,0,1,,,,0299604861,,,ecole.0351022W@ac-rennes.fr,1,0,1,,,,,,,,,,,,,136,,21350196800068,,,339180.7,6786175.3,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.076234281993365,-1.8480585780326317,"48.076234281993365,-1.8480585780326317",Numéro de rue,1970-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351064S,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Notre Dame,23 rue du Parc ,,35890 LAILLE,35890,35139,Laillé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299425714,,,ec.0351064S@ac-rennes.fr,1,0,0,,,,,,,,,,,,,164,,77769468800014,,,348075.6,6775004.0,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.98073536704341,-1.7198717271636328,"47.98073536704341,-1.7198717271636328",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351099E,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Notre Dame des Vertus,13 rue des Ecoles ,,35450 MECE,35450,35170,Mecé,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299390032,,,ec.0351099E@ac-rennes.fr,1,0,0,,,,,,,,,,,,,39,,77770284600018,,,380479.7,6801778.4,EPSG:2154,Circonscription d'inspection du 1er degré de Liffre,48.23792681378499,-1.3057424158806152,"48.23792681378499,-1.3057424158806152",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,035033,151,ECOLE DE NIVEAU ELEMENTAIRE
0351151L,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée le Sacré Coeur,4 rue du Coteau ,,35230 ORGERES,35230,35208,Orgères,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299576317,,,ec.0351151L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,200,,77771198700027,,,351872.3,6776560.7,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.99674999363664,-1.670304562129914,"47.99674999363664,-1.670304562129914",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351197L,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée l'Arche de Noé,2 rue Joseph Panaget ,,35230 BOURGBARRE,35230,35032,Bourgbarré,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299576050,,,ec.0351197L@ac-rennes.fr,1,0,0,,,,,,,,,,,,,146,,77765726300029,,,356060.5,6776023.3,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,47.9941366768603,-1.613825606687467,"47.9941366768603,-1.613825606687467",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351213D,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée la Providence Vert Buisson,4 rue de Gavrinis ,,35170 BRUZ,35170,35047,Bruz,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299050660,,,ec.0351213D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,210,,77766017600028,,,345495.1,6780692.3,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.03043964414498,-1.7589893343884788,"48.03043964414498,-1.7589893343884788",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351214E,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée la Providence Centre,1 bis avenue ALPHONSE LEGAULT ,BP 7103,35171 BRUZ CEDEX,35171,35047,Bruz,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299526067,,,ec.0351214E@ac-rennes.fr,1,0,1,,,,,,,,,,,,,342,,77766017600028,,,346368.4,6780017.1,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.0248473035537,-1.7467499078838218,"48.0248473035537,-1.7467499078838218",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351254Y,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée St Joseph,3 rue de la Nouette ,,35310 CINTRE,35310,35080,Cintré,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299641713,,,ec.0351254Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,100,,77766822900019,,,337658.8,6789727.6,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.10729707809888,-1.8713963315617432,"48.10729707809888,-1.8713963315617432",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351349B,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée St Joseph,21 rue de la Poste ,,35590 L HERMITAGE,35590,35131,L'Hermitage,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299641726,,,ec.0351349B@ac-rennes.fr,1,0,0,,,,,,,,,,,,,170,,77769219500020,,,341773.6,6791263.4,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.12336108035872,-1.8174721023344635,"48.12336108035872,-1.8174721023344635",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351360N,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée St Jean,22 AVENUE DE LA MARE GUESCLIN ,,35230 ST ERBLON,35230,35266,Saint-Erblon,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299523512,,,ec.0351360N@ac-rennes.fr,1,0,0,,,,,,,,,,,,,129,,77775891300019,,,353428.5,6778992.0,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.019417449556904,-1.6513948573998438,"48.019417449556904,-1.6513948573998438",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351369Y,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée le Sacré Coeur,13 rue de la Prouverie ,,35590 ST GILLES,35590,35275,Saint-Gilles,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299646543,,,ec.0351369Y@ac-rennes.fr,1,0,0,,,,,,,,,,,,,247,,77776129700012,,,341317.0,6794592.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.1530062392366,-1.826329869139562,"48.1530062392366,-1.826329869139562",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351443D,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Anne,7 rue de la Mare Pavée ,,35235 THORIGNE FOUILLARD,35235,35334,Thorigné-Fouillard,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299620163,,,ec.0351443D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,299,,77778361400012,,,359674.7,6793664.1,EPSG:2154,Circonscription d'inspection du 1er degré de Cesson-Sévigné,48.15450374958692,-1.5791593709045144,"48.15450374958692,-1.5791593709045144",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351512D,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Jeanne d'Arc,Rue Commandant Anjot ,,35700 RENNES,35700,35238,Rennes,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299843039,,,ec.0351512D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,466,,77774582900021,,,353882.3,6790143.9,EPSG:2154,Circonscription d'inspection du 1er degré de Rennes Est,48.11983641555976,-1.6541300139080437,"48.11983641555976,-1.6541300139080437",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351558D,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée Ste Bernadette,1 ROUTE DE ST THURIAL ,,35160 LE VERGER,35160,35351,Le Verger,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299079530,,,ec.0351558D@ac-rennes.fr,1,0,0,,,,,,,,,,,,,67,,77778662500015,,,332946.9,6785755.8,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.06899510906876,-1.9312501497204657,"48.06899510906876,-1.9312501497204657",Numéro de rue,1971-03-18,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351778T,Ecole,Public,SANS OBJET,Ecole maternelle publique la Gabillais,7 bis place de la Gabillais ,,35650 LE RHEU,35650,35240,Le Rheu,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299607761,,,ecole.0351778T@ac-rennes.fr,1,0,0,,,,,,,,,,,,,111,,21350240400048,,,343724.7,6788468.0,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Jacques-de-la-Lande,48.09932063390181,-1.7890207870516657,"48.09932063390181,-1.7890207870516657",Numéro de rue,1972-06-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
0351786B,Ecole,Public,SANS OBJET,Ecole primaire publique Louise Michel,3 avenue de la Mare Guesclin ,,35230 ST ERBLON,35230,35266,Saint-Erblon,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,1,,,,0299522889,,,ecole.0351786B@ac-rennes.fr,1,0,0,,,,,,,,,,,,,261,,21350266900038,,,353133.7,6779170.3,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.020862933262904,-1.6554831830624799,"48.020862933262904,-1.6554831830624799",Numéro de rue,1972-10-05,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0351812E,Ecole,Public,SANS OBJET,Ecole maternelle publique Champ L'Evêque,53 rue du Guesclin ,,35170 BRUZ,35170,35047,Bruz,35,Ille-et-Vilaine,14,Rennes,53,Bretagne,1,0,,,,0299529080,,,ecole.0351812E@ac-rennes.fr,1,0,0,,,,,,,,,,,,,138,,21350047300078,,,347026.1,6779707.2,EPSG:2154,Circonscription d'inspection du 1er degré de Chartres-de-Bretagne,48.022418788966064,-1.737693598503619,"48.022418788966064,-1.737693598503619",Numéro de rue,1973-06-06,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,101,ECOLE MATERNELLE
