Code Insee Commune,Nom Commune,Code Insee EPCI,Nom EPCI,Code Insee Departement,Nom Departement,Code Insee Region,Nom Region,Id Structure,Nom Structure,Email Structure,Site Internet Structure,Telephone Structure,Telephone 2 Structure,Horaires Structure,Adresse Structure,Code Postal Structure,Commune Structure,Code Insee Commune Structure,Missions couvertes Structure,Thématiques couvertes
35065,La Chapelle-Thouarault,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35066,Chartres-de-Bretagne,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35076,Chavagne,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35079,Chevaigné,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35080,Cintré,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35081,Clayes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35088,Corps-Nuds,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35120,Gévezé,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35131,L’Hermitage,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35132,Hirel,243500782,Communauté d’agglomération du Pays de Saint Malo Agglomération,35,Ille-et-Vilaine,53,Bretagne,8b38a816-da74-4ec7-ae4e-5b9f0e7e4ea6,Maison de l’habitat Pays de St-Malo,infoenergie@pays-stmalo.fr,www.pays-stmalo.fr,0299211726,,"[""Permanence téléphonique du lundi au jeudi de 9h à 12h et de 14h à 17h.

Conseil personnalisé sur prise de rendez-vous du lundi au vendredi, sur les communes du Pays de Saint-Malo.""]",Maison de l’habitat - 23 avenue Anita Conti,35400,SAINT MALO,35288,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]",
35135,Irodouër,200038990,Communauté de communes de Saint-Méen Montauban,35,Ille-et-Vilaine,53,Bretagne,2237155b-00ef-481c-9bcd-943893548dfb,Service Conseil Rénov’ Habitat,conseil.renov.habitat@pays-broceliande.bzh,https://pays-broceliande.bzh/conseil-renov-energie/,0800725635,,"[""Permanences téléphoniques du lundi au vendredi de 9h00 à 12h00 et de 14h00 à 17h00
Permanences physiques (mêmes horaires) sur rendez-vous les :
- mardi : 1er et 3ème (matin) à Bédée et 2ème et 4ème (ap-midi) à Bréal-sous-Montfort
- mercredi : 2ème (matin) à Montauban-de-Bretagne 
- jeudi : 1er et 3ème (ap-midi) à Plélan-le-Grand et 2ème et 4ème (matin) à Montfort-sur-Meu
- vendredi : 1er et 3ème (ap-midi) à Montauban-de-Bretagne et 2ème et 4ème (ap-midi) à Saint-Méen-le-Grand""]",Manoir de la Ville Cotterel - 48 rue de Saint-Malo,35360,MONTAUBAN DE BRETAGNE,35184,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""RENOVATION_ENERGETIQUE"", ""LUTTE_CONTRE_HABITAT_INDIGNE""]"
35136,Janzé,243500634,Communauté de communes Roche aux Fées Communauté,35,Ille-et-Vilaine,53,Bretagne,ca7127a8-0ce6-4bcd-a9e0-bbfb17bb710c,Habiter au Pays de la Roche aux Fées,infohabitat@ccprf.fr,www.raf.habitatpaysdevitre.org,0299436487,,"[""Contact téléphone du lundi au vendredi : matin : 8h30-12h30 - après-midi : 14h-17h30

"",""Permanence au public le vendredi matin (1er et 3ème de chaque mois) : "",""h-12h30""]",16 rue Louis Pasteur,35240,RETIERS,35239,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""LUTTE_CONTRE_HABITAT_INDIGNE"", ""AUTONOMIE"", ""RENOVATION_ENERGETIQUE""]"
35139,Laillé,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35144,Langan,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35150,Lécousse,200072452,Communauté d’agglomération Fougères Agglomération,35,Ille-et-Vilaine,53,Bretagne,af0f8c8e-19a2-468a-ae8c-aec33581a6f9,Rénobatys,renobatys@ale-fougeres.bzh,https://www.ale-fougeres.bzh,0290802000,,"[""lundi et mardi : 14 h – 17 h 30,
"",""mercredi, jeudi : 9 h – 12 h 30 / 14 h – 17 h 30, "",""vendredi : 9 h – 12 h / 14 h – 16 h 30.""]",1 rue de la Moussais,35300,FOUGERES,35115,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE"", ""AUTONOMIE""]"
35160,Loutehel,200043990,Communauté de communes Vallons de Haute-Bretagne Communauté,35,Ille-et-Vilaine,53,Bretagne,88c484fc-b495-4060-9e77-54b3c8beb406,Maison de l’habitat - Guichen,habitat@vallonsdehautebretagne.fr,https://www.vallons-de-haute-bretagne-communaute.fr/,0290710835,,"[""-""]",Maison de l’Habitat - PA Des Landes - 12 rue Blaise Pascal,35580,GUICHEN,35126,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]",
35170,Mecé,200039022,Communauté d’agglomération Vitré Communauté,35,Ille-et-Vilaine,53,Bretagne,6e86728f-ec21-47ad-bf4a-bc57085e0e86,Maison du logement Vitré,infoenergie@vitrecommunaute.org,www.vitrecommunaute.org,0299743217,,"[""Horaires d’accueil :"",""Permanences téléphoniques ou sur rendez-vous, du lundi au jeudi de 13h30 à 17h30, et le vendredi de 13h30 à 17h.""]",Maison du logement - 47 rue Notre Dame,35500,VITRE,35015,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]",
35180,Miniac-sous-Bécherel,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35189,Montgermont,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35190,Monthault,200072452,Communauté d’agglomération Fougères Agglomération,35,Ille-et-Vilaine,53,Bretagne,af0f8c8e-19a2-468a-ae8c-aec33581a6f9,Rénobatys,renobatys@ale-fougeres.bzh,https://www.ale-fougeres.bzh,0290802000,,"[""lundi et mardi : 14 h – 17 h 30,
"",""mercredi, jeudi : 9 h – 12 h 30 / 14 h – 17 h 30, "",""vendredi : 9 h – 12 h / 14 h – 16 h 30.""]",1 rue de la Moussais,35300,FOUGERES,35115,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE"", ""AUTONOMIE""]"
35196,Mordelles,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35200,Moutiers,200039022,Communauté d’agglomération Vitré Communauté,35,Ille-et-Vilaine,53,Bretagne,6e86728f-ec21-47ad-bf4a-bc57085e0e86,Maison du logement Vitré,infoenergie@vitrecommunaute.org,www.vitrecommunaute.org,0299743217,,"[""Horaires d’accueil :"",""Permanences téléphoniques ou sur rendez-vous, du lundi au jeudi de 13h30 à 17h30, et le vendredi de 13h30 à 17h.""]",Maison du logement - 47 rue Notre Dame,35500,VITRE,35015,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]",
35204,Nouvoitou,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35206,Noyal-Châtillon-sur-Seiche,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35208,Orgères,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35210,Pacé,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35216,Parthenay-de-Bretagne,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35230,Poilley,200072452,Communauté d’agglomération Fougères Agglomération,35,Ille-et-Vilaine,53,Bretagne,af0f8c8e-19a2-468a-ae8c-aec33581a6f9,Rénobatys,renobatys@ale-fougeres.bzh,https://www.ale-fougeres.bzh,0290802000,,"[""lundi et mardi : 14 h – 17 h 30,
"",""mercredi, jeudi : 9 h – 12 h 30 / 14 h – 17 h 30, "",""vendredi : 9 h – 12 h / 14 h – 16 h 30.""]",1 rue de la Moussais,35300,FOUGERES,35115,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE"", ""AUTONOMIE""]"
35235,Rannée,200039022,Communauté d’agglomération Vitré Communauté,35,Ille-et-Vilaine,53,Bretagne,6e86728f-ec21-47ad-bf4a-bc57085e0e86,Maison du logement Vitré,infoenergie@vitrecommunaute.org,www.vitrecommunaute.org,0299743217,,"[""Horaires d’accueil :"",""Permanences téléphoniques ou sur rendez-vous, du lundi au jeudi de 13h30 à 17h30, et le vendredi de 13h30 à 17h.""]",Maison du logement - 47 rue Notre Dame,35500,VITRE,35015,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]",
35238,Rennes,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35240,Le Rheu,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
